id,name,description,type,subtype,session_price,bono_session,image,is_active,created_at,updated_at
"32a80f61-cae6-4b1e-9ece-3a5d78eae5e5",Facial,"Tratamiento facial rejuvenecedor con productos premium para revitalizar la piel. Ideal para pieles cansadas o con signos de fatiga.",TRATAMIENTOS,INDIBA DEEP BEAUTY,55.00,0,"https://placehold.co/300x200?text=Facial",true,"2025-04-05 10:00:00+00","2025-04-05 10:00:00+00"
"774a4d82-635c-4e6f-bf4a-0c3e012f2c80",Corporal,"Tratamiento corporal con tecnología INDIBA para modelar y tonificar. Reduce medidas y mejora la circulación.",TRATAMIENTOS,INDIBA DEEP BEAUTY,65.00,0,"https://placehold.co/300x200?text=Corporal",true,"2025-04-05 10:05:00+00","2025-04-05 10:05:00+00"
"e9a3af98-51f6-4ee6-8ac6-0c46897c1d34",Limpieza + INDIBA,"Limpieza profunda seguida de aplicación de INDIBA para maximizar resultados. Perfecto para pieles mixtas y grasas.",TRATAMIENTOS,INDIBA DEEP BEAUTY,85.00,0,"https://placehold.co/300x200?text=Limpieza+INDIBA",true,"2025-04-05 10:10:00+00","2025-04-05 10:10:00+00"
"51429a19-bef2-489d-8503-4d174e6252ea",Limpieza Facial,"Limpieza profunda con extracción de puntos negros y mascarilla hidratante. Ideal para todo tipo de pieles.",TRATAMIENTOS,FACIALES,55.00,0,"https://placehold.co/300x200?text=Limpieza+Facial",true,"2025-04-05 10:15:00+00","2025-04-05 10:15:00+00"
"47438f4a-2d79-420f-9a71-fa8d19e88cca",Ritual Pieles Imperfectas,"Ritual especializado para pieles con acné, poros dilatados o irregularidades. Incluye exfoliación y tratamiento calmante.",TRATAMIENTOS,FACIALES,80.00,0,"https://placehold.co/300x200?text=Ritual+Imperfectas",true,"2025-04-05 10:20:00+00","2025-04-05 10:20:00+00"
"104fff43-b005-4095-a9cc-a587c25f0fa6",Ritual Multivitamínico 24.7,"Cocktail de vitaminas para nutrir profundamente la piel. Resultados visibles desde la primera sesión.",TRATAMIENTOS,FACIALES,65.00,0,"https://placehold.co/300x200?text=Ritual+Multivitaminico",true,"2025-04-05 10:25:00+00","2025-04-05 10:25:00+00"
"d5eb214b-3b37-46aa-9b17-3cb1b38912d6",Ritual Lifting Code,"Técnica lifting no invasiva que reafirma y tensa la piel. Ideal para rostros con pérdida de firmeza.",TRATAMIENTOS,FACIALES,90.00,0,"https://placehold.co/300x200?text=Lifting+Code",true,"2025-04-05 10:30:00+00","2025-04-05 10:30:00+00"
"b550ce6b-1e60-4c62-baaa-7573390f54d7",Ritual Antiedad,"Tratamiento anti-envejecimiento con péptidos y ácido hialurónico. Reducción de arrugas y aumento de luminosidad.",TRATAMIENTOS,FACIALES,80.00,0,"https://placehold.co/300x200?text=Ritual+Antiedad",true,"2025-04-05 10:35:00+00","2025-04-05 10:35:00+00"
"4c0063a3-4e31-416e-9d4f-adc853bf5fb7",Ritual Antimanchas,"Tratamiento intensivo para uniformizar el tono y reducir manchas solares o hormonales.",TRATAMIENTOS,FACIALES,80.00,0,"https://placehold.co/300x200?text=Ritual+Antimanchas",true,"2025-04-05 10:40:00+00","2025-04-05 10:40:00+00"
"e1436f08-0782-4a22-a4c0-cd30aa8ebceb",Hidratación,"Hidratación profunda con ácido hialurónico y activos reparadores. Ideal para pieles secas o deshidratadas.",TRATAMIENTOS,CORPORALES,35.00,0,"https://placehold.co/300x200?text=Hidratacion",true,"2025-04-05 10:45:00+00","2025-04-05 10:45:00+00"
"3b31884f-066b-41a3-bf66-32558f194cb1",Chocolaterapia,"Masaje corporal con crema de chocolate y cacao. Relajante, nutritivo y sensorial.",TRATAMIENTOS,CORPORALES,40.00,0,"https://placehold.co/300x200?text=Chocolaterapia",true,"2025-04-05 10:50:00+00","2025-04-05 10:50:00+00"
"5b1e417f-74c2-475d-86a0-053b8a2fca5f",Maderoterapia,"Técnica de masaje con madera para drenar, modelar y reducir celulitis. Resultados visibles en pocas sesiones.",TRATAMIENTOS,CORPORALES,65.00,0,"https://placehold.co/300x200?text=Maderoterapia",true,"2025-04-05 10:55:00+00","2025-04-05 10:55:00+00"
"1c727174-2edf-4c59-bd97-41ef62a08de5",Meso-Fit,"Tratamiento corporal con microinfiltraciones de principios activos para remodelar y tonificar.",TRATAMIENTOS,CORPORALES,95.00,0,"https://placehold.co/300x200?text=Meso-Fit",true,"2025-04-05 11:00:00+00","2025-04-05 11:00:00+00"
"0451dbb3-5701-4ffd-adc7-ec06c6143be0",Ritual Belleza Honesta,"Experiencia completa de bienestar con masaje, aromaterapia y ritual facial. Para desconectar y renovarte.",TRATAMIENTOS,BIENESTAR,60.00,0,"https://placehold.co/300x200?text=Belleza+Honesta",true,"2025-04-05 11:05:00+00","2025-04-05 11:05:00+00"
"c3d20c12-26ed-45f2-b373-63800ecad257",Lifting,"Elevación de pestañas con efecto natural y duradero. Sin necesidad de extensiones.",MIRADA,PESTAÑAS,42.00,0,"https://placehold.co/300x200?text=Lifting+Pestanas",true,"2025-04-05 11:10:00+00","2025-04-05 11:10:00+00"
"98b6ff63-08a4-4636-8f02-ee068d348368",Extensión natural,"Extensiones de pestañas individuales en estilo natural. Suaves y realistas, ideales para uso diario.",MIRADA,PESTAÑAS,35.90,0,"https://placehold.co/300x200?text=Extension+Natural",true,"2025-04-05 11:15:00+00","2025-04-05 11:15:00+00"
"2c82f6b2-1408-4e4f-a391-9c2ae9041b60",Extensión rímel,"Extensiones voluminosas con efecto de rímel. Perfectas para ocasiones especiales o fiestas.",MIRADA,PESTAÑAS,65.00,0,"https://placehold.co/300x200?text=Extension+Rimel",true,"2025-04-05 11:20:00+00","2025-04-05 11:20:00+00"
